Location ,Income deprivation,deaths
Adur,0.108,3
Amber Valley,0.109,13
Arun,0.104,17
Ashfield,0.152,9
Ashford,0.11,4
Babergh,0.08,8
Barking and Dagenham,0.194,10
Barnet,0.111,15
Barnsley,0.169,34
Basildon,0.138,20
Basingstoke and Deane,0.071,9
Bassetlaw,0.122,15
Bath and North East Somerset,0.079,22
Bedford,0.114,8
Bexley,0.106,11
Blaby,0.069,4
Blackburn with Darwen,0.212,15
Blackpool,0.247,48
Bolsover,0.147,10
Bolton,0.186,38
Boston,0.128,10
"Bournemouth, Christchurch and Poole",0.112,65
Bracknell Forest,0.068,14
Bradford,0.189,70
Braintree,0.092,12
Breckland,0.1,8
Brent,0.155,17
Brentwood,0.064,6
Brighton and Hove,0.123,46
"Bristol, City of",0.141,59
Broadland,0.072,5
Bromley,0.091,25
Bromsgrove,0.073,5
Broxbourne,0.108,7
Broxtowe,0.097,5
Burnley,0.203,17
Bury,0.145,22
Calderdale,0.149,27
Cambridge,0.077,12
Camden,0.141,16
Cannock Chase,0.127,7
Canterbury,0.1,13
Castle Point,0.107,5
Central Bedfordshire,0.077,8
Charnwood,0.084,19
Chelmsford,0.077,12
Cheltenham,0.091,4
Cherwell,0.076,9
Cheshire East,0.083,37
Cheshire West and Chester,0.108,27
Chesterfield,0.153,17
Chichester,0.079,7
Chorley,0.102,13
City of London,0.065,0
Colchester,0.099,23
Cornwall,0.13,75
Cotswold,0.064,6
County Durham,0.165,70
Coventry,0.154,37
Crawley,0.11,7
Croydon,0.136,20
Dacorum,0.085,13
Darlington,0.153,11
Dartford,0.095,4
Derby,0.158,24
Derbyshire Dales,0.068,3
Doncaster,0.166,42
Dorset,0.088,26
Dover,0.134,8
Dudley,0.156,20
Ealing,0.14,22
East Cambridgeshire,0.07,5
East Devon,0.081,14
East Hampshire,0.06,5
East Hertfordshire,0.06,5
East Lindsey,0.162,19
East Riding of Yorkshire,0.096,23
East Staffordshire,0.103,4
East Suffolk,0.112,14
Eastbourne,0.141,15
Eastleigh,0.066,3
Elmbridge,0.057,12
Enfield,0.171,11
Epping Forest,0.091,7
Epsom and Ewell,0.056,3
Erewash,0.12,5
Exeter,0.095,21
Fareham,0.056,5
Fenland,0.14,8
Folkestone and Hythe,0.145,23
Forest of Dean,0.107,6
Fylde,0.096,8
Gateshead,0.167,34
Gedling,0.102,8
Gloucester,0.126,20
Gosport,0.107,10
Gravesham,0.122,5
Great Yarmouth,0.184,6
Greenwich,0.159,10
Guildford,0.057,11
Hackney,0.196,26
Halton,0.185,14
Hammersmith and Fulham,0.142,15
Harborough,0.056,4
Haringey,0.17,24
Harlow,0.134,7
Harrow,0.109,8
Hart,0.042,2
Hartlepool,0.228,15
Hastings,0.202,14
Havant,0.126,11
Havering,0.108,14
"Herefordshire, County of",0.098,16
Hertsmere,0.089,11
High Peak,0.097,13
Hillingdon,0.114,15
Hinckley and Bosworth,0.082,10
Horsham,0.056,6
Hounslow,0.129,9
Huntingdonshire,0.074,12
Hyndburn,0.182,15
Ipswich,0.141,9
Isle of Wight,0.138,13
Isles of Scilly,0.029,0
Islington,0.179,17
Kensington and Chelsea,0.117,12
King's Lynn and West Norfolk,0.12,19
"Kingston upon Hull, City of",0.227,45
Kingston upon Thames,0.078,8
Kirklees,0.143,38
Knowsley,0.251,18
Lambeth,0.153,24
Lancaster,0.129,21
Leeds,0.143,82
Leicester,0.196,25
Lewes,0.099,8
Lewisham,0.164,22
Lichfield,0.084,7
Lincoln,0.155,19
Liverpool,0.235,73
Luton,0.155,13
Maidstone,0.095,13
Maldon,0.086,4
Malvern Hills,0.092,6
Manchester,0.219,86
Mansfield,0.156,17
Medway,0.134,28
Melton,0.072,1
Merton,0.1,9
Mid Devon,0.093,7
Mid Suffolk,0.071,4
Mid Sussex,0.053,5
Middlesbrough,0.251,44
Milton Keynes,0.111,17
Mole Valley,0.054,3
New Forest,0.077,4
Newark and Sherwood,0.109,12
Newcastle upon Tyne,0.178,40
Newcastle-under-Lyme,0.108,8
Newham,0.169,12
North Devon,0.11,12
North East Derbyshire,0.112,5
North East Lincolnshire,0.19,17
North Hertfordshire,0.079,5
North Kesteven,0.081,7
North Lincolnshire,0.133,12
North Norfolk,0.106,4
North Somerset,0.101,20
North Tyneside,0.144,33
North Warwickshire,0.097,6
North West Leicestershire,0.09,2
Northumberland,0.126,51
Norwich,0.163,22
Nottingham,0.199,49
Nuneaton and Bedworth,0.136,11
Oadby and Wigston,0.086,2
Oldham,0.193,17
Oxford,0.093,9
Pendle,0.168,15
Peterborough,0.156,27
Plymouth,0.148,23
Portsmouth,0.134,24
Preston,0.162,25
Reading,0.114,12
Redbridge,0.121,12
Redcar and Cleveland,0.186,40
Redditch,0.124,10
Reigate and Banstead,0.067,6
Ribble Valley,0.057,7
Richmond upon Thames,0.064,8
Rochdale,0.201,26
Rochford,0.073,6
Rossendale,0.145,7
Rother,0.113,5
Rotherham,0.168,34
Rugby,0.087,10
Runnymede,0.066,9
Rushcliffe,0.059,8
Rushmoor,0.104,9
Rutland,0.056,2
Salford,0.191,20
Sandwell,0.215,17
Sefton,0.162,35
Sevenoaks,0.075,3
Sheffield,0.156,60
Shropshire,0.096,18
Slough,0.126,13
Solihull,0.108,11
Somerset,0.104,48
South Cambridgeshire,0.056,10
South Derbyshire,0.083,6
South Gloucestershire,0.074,14
South Hams,0.087,2
South Holland,0.103,5
South Kesteven,0.091,10
South Norfolk,0.078,6
South Oxfordshire,0.054,0
South Ribble,0.091,8
South Staffordshire,0.086,1
South Tyneside,0.206,22
Southampton,0.135,18
Southend-on-Sea,0.144,21
Southwark,0.162,26
Spelthorne,0.079,4
St Albans,0.06,7
St. Helens,0.182,30
Stafford,0.078,11
Staffordshire Moorlands,0.084,5
Stevenage,0.122,5
Stockport,0.12,33
Stockton-on-Tees,0.164,36
Stoke-on-Trent,0.19,19
Stratford-on-Avon,0.068,6
Stroud,0.078,10
Sunderland,0.192,45
Surrey Heath,0.054,4
Sutton,0.095,16
Swale,0.149,8
Swindon,0.109,7
Tameside,0.175,24
Tamworth,0.126,4
Tandridge,0.063,4
Teignbridge,0.101,4
Telford and Wrekin,0.156,15
Tendring,0.173,20
Test Valley,0.066,10
Tewkesbury,0.077,5
Thanet,0.185,12
Three Rivers,0.071,8
Thurrock,0.13,9
Tonbridge and Malling,0.08,7
Torbay,0.174,13
Torridge,0.121,5
Tower Hamlets,0.192,17
Trafford,0.107,21
Tunbridge Wells,0.073,5
Uttlesford,0.054,3
Vale of White Horse,0.057,3
Wakefield,0.147,42
Walsall,0.2,20
Waltham Forest,0.152,14
Wandsworth,0.107,25
Warrington,0.109,12
Warwick,0.07,20
Watford,0.092,3
Waverley,0.054,6
Wealden,0.073,8
Welwyn Hatfield,0.086,7
West Berkshire,0.064,8
West Devon,0.098,5
West Lancashire,0.123,7
West Lindsey,0.123,12
West Oxfordshire,0.059,8
West Suffolk,0.081,12
Westminster,0.135,10
Wigan,0.148,48
Wiltshire,0.078,33
Winchester,0.058,7
Windsor and Maidenhead,0.058,2
Wirral,0.174,44
Woking,0.067,7
Wokingham,0.044,8
Wolverhampton,0.211,38
Worcester,0.117,13
Worthing,0.101,11
Wychavon,0.085,12
Wyre,0.125,10
Wyre Forest,0.127,9
York,0.072,23
